keyword,drift_total,distances
notes,4.356049449140621,"[('1993-1997', '1998-2002', 0.5917517095361369), ('1998-2002', '2008-2012', 0.7642977396044841), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 1.0)]"
lewin,4.35036464549895,"[('1993-1997', '1998-2002', 0.8639172365120457), ('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 0.4864474089869044), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0)]"
key,4.343887640805311,"[('1993-1997', '1998-2002', 0.6913933000758161), ('1998-2002', '2003-2007', 1.0), ('2003-2007', '2013-2017', 0.8881966011250105), ('2013-2017', '2018-2022', 0.7642977396044841), ('2018-2022', '2023-2027', 1.0)]"
mode,4.340536138403349,"[('1993-1997', '1998-2002', 1.0), ('1998-2002', '2008-2012', 1.0), ('2008-2012', '2013-2017', 0.7278344730240913), ('2013-2017', '2018-2022', 0.6127016653792583), ('2018-2022', '2023-2027', 1.0)]"
language,4.314571369559975,"[('1993-1997', '1998-2002', 1.0), ('1998-2002', '2008-2012', 0.4836022205056776), ('2008-2012', '2013-2017', 0.8309691490542966), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 1.0)]"
chord,4.245744402517069,"[('1993-1997', '1998-2002', 0.7375680594592611), ('1998-2002', '2003-2007', 0.7989924369481576), ('2003-2007', '2008-2012', 0.49167143222465115), ('2008-2012', '2013-2017', 0.5848716530703213), ('2013-2017', '2018-2022', 0.6326408208146774), ('2018-2022', '2023-2027', 1.0)]"
tempo,4.179630289546528,"[('1993-1997', '1998-2002', 0.7817821097640076), ('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 0.841886116991581), ('2008-2012', '2013-2017', 0.8232233047033631), ('2013-2017', '2018-2022', 0.7327387580875756)]"
tonic,4.141592463828276,"[('1993-1997', '2003-2007', 1.0), ('2003-2007', '2008-2012', 0.8867722965855405), ('2008-2012', '2013-2017', 0.8398718461949128), ('2013-2017', '2018-2022', 0.6334916669310844), ('2018-2022', '2023-2027', 0.7814566541167388)]"
chords,4.135025455028741,"[('1993-1997', '1998-2002', 0.7883331216663492), ('1998-2002', '2003-2007', 0.8285014148574912), ('2003-2007', '2008-2012', 0.6231488268259084), ('2008-2012', '2013-2017', 0.5011123484301412), ('2013-2017', '2018-2022', 0.6372618749449941), ('2018-2022', '2023-2027', 0.7566678683038561)]"
fugue,4.08971373496696,"[('1993-1997', '1998-2002', 1.0), ('1998-2002', '2003-2007', 0.75), ('2003-2007', '2008-2012', 0.8232233047033631), ('2008-2012', '2013-2017', 0.841886116991581), ('2013-2017', '2018-2022', 0.6746043132720156)]"
scores,4.069147202211137,"[('1993-1997', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 0.4921666249229918), ('2013-2017', '2018-2022', 0.8126828376836611), ('2018-2022', '2023-2027', 0.7642977396044841)]"
exercises,4.005638969527804,"[('1993-1997', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 0.5370899501137242), ('2013-2017', '2018-2022', 0.6726731646460113), ('2018-2022', '2023-2027', 0.7958758547680684)]"
ligeti,4.0,"[('1993-1997', '1998-2002', 1.0), ('1998-2002', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 1.0)]"
interpretation,4.0,"[('1993-1997', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0)]"
history,4.0,"[('1993-1997', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0)]"
voices,4.0,"[('1993-1997', '2003-2007', 1.0), ('2003-2007', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 1.0)]"
webern,4.0,"[('1993-1997', '1998-2002', 1.0), ('1998-2002', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 1.0)]"
teaching,4.0,"[('1998-2002', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 1.0)]"
listeners,4.0,"[('1993-1997', '1998-2002', 1.0), ('1998-2002', '2003-2007', 1.0), ('2003-2007', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0)]"
syllables,4.0,"[('1998-2002', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 1.0)]"
listening,4.0,"[('1993-1997', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0)]"
sets,4.0,"[('1993-1997', '1998-2002', 1.0), ('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0)]"
love,4.0,"[('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0)]"
repetition,4.0,"[('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0)]"
ravel,4.0,"[('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0)]"
piano,4.0,"[('1993-1997', '2003-2007', 1.0), ('2003-2007', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 1.0)]"
performer,4.0,"[('1993-1997', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0)]"
perception,4.0,"[('1993-1997', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 1.0)]"
musical examples,4.0,"[('1993-1997', '1998-2002', 1.0), ('1998-2002', '2003-2007', 1.0), ('2003-2007', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0)]"
opera,4.0,"[('1993-1997', '2003-2007', 1.0), ('2003-2007', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 1.0)]"
pcs,4.0,"[('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0)]"
